Instance;Repetition;Algorithm;Fitness;Real_Time
"N-stabu70";6;"PLEDA";358809.000;520.615
"N-stabu70";17;"PLEDA";357580.000;522.827
"N-stabu70";19;"PLEDA";358254.000;520.999
"N-stabu70";10;"PLEDA";357476.000;523.731
"N-t65l11xx";14;"PLEDA";16671.000;199.883
"N-t65l11xx";19;"PLEDA";16671.000;203.319
"N-t65l11xx";6;"PLEDA";16674.000;243.200
"N-t65l11xx";15;"PLEDA";16669.000;199.711
"N-stabu70";3;"PLEDA";358542.000;521.944
"N-t65n11xx";11;"PLEDA";32082.000;197.764
"N-stabu70";13;"PLEDA";357893.000;523.360
"N-t65n11xx";16;"PLEDA";32083.000;195.991
"N-t65n11xx";10;"PLEDA";32074.000;201.394
"N-stabu70";9;"PLEDA";357805.000;521.958
"N-t65l11xx";4;"PLEDA";16671.000;253.069
"N-stabu70";8;"PLEDA";356497.000;522.215
"N-t65n11xx";5;"PLEDA";31983.000;198.847
"N-stabu70";15;"PLEDA";357397.000;522.384
"N-stabu70";5;"PLEDA";357608.000;524.588
"N-t65n11xx";12;"PLEDA";31903.000;201.260
"N-stabu70";16;"PLEDA";356463.000;522.446
"N-stabu70";4;"PLEDA";356679.000;523.447
"N-t65n11xx";9;"PLEDA";31972.000;199.861
"N-t65l11xx";7;"PLEDA";16671.000;250.734
"N-stabu70";14;"PLEDA";355440.000;519.044
"N-t65l11xx";10;"PLEDA";16678.000;246.444
"N-stabu70";12;"PLEDA";357805.000;522.173
"N-stabu70";7;"PLEDA";357610.000;522.423
"N-stabu70";18;"PLEDA";358511.000;519.833
"N-t65n11xx";15;"PLEDA";31929.000;202.508
"N-stabu70";2;"PLEDA";356787.000;521.525
"N-t65l11xx";8;"PLEDA";16695.000;265.427
"N-stabu70";1;"PLEDA";358553.000;522.639
"N-stabu70";11;"PLEDA";356790.000;522.478
"N-t65n11xx";6;"PLEDA";31974.000;235.150
"N-t65l11xx";11;"PLEDA";16671.000;266.036
"N-t65n11xx";18;"PLEDA";31939.000;201.852
"N-t65l11xx";9;"PLEDA";16671.000;261.687
"N-t65n11xx";19;"PLEDA";32037.000;201.151
"N-t70d11xxb";12;"PLEDA";365043.000;150.511
"N-t65w11xx";4;"PLEDA";136875247.000;195.122
"N-t65w11xx";1;"PLEDA";137637664.000;200.087
"N-t65w11xx";13;"PLEDA";136893896.000;183.886
"N-t65w11xx";5;"PLEDA";137545988.000;173.604
"N-t70b11xx";11;"PLEDA";527110.000;160.829
"N-t65w11xx";2;"PLEDA";137331765.000;190.752
"N-t69r11xx";15;"PLEDA";770251.000;181.411
"N-t65l11xx";13;"PLEDA";16671.000;261.120
"N-t65w11xx";3;"PLEDA";137404127.000;195.703
"N-t65n11xx";1;"PLEDA";31976.000;256.907
"N-t65l11xx";12;"PLEDA";16671.000;265.517
"N-t70b11xx";12;"PLEDA";527510.000;177.406
"N-t65w11xx";10;"PLEDA";137632653.000;192.011
"N-t70b11xx";5;"PLEDA";526967.000;174.665
"N-t65n11xx";8;"PLEDA";32080.000;252.003
"N-t70b11xx";15;"PLEDA";526195.000;177.586
"N-t70b11xx";4;"PLEDA";527401.000;173.407
"N-t65n11xx";17;"PLEDA";32057.000;260.902
"N-t69r11xx";14;"PLEDA";767779.000;201.099
"N-t70b11xx";10;"PLEDA";527249.000;195.685
"N-t70f11xx";17;"PLEDA";357990.000;166.789
"N-t70d11xx";13;"PLEDA";373810.000;179.140
"N-t70b11xx";3;"PLEDA";527519.000;187.043
"N-t69r11xx";8;"PLEDA";767741.000;201.367
"N-t69r11xx";4;"PLEDA";767796.000;201.081
"N-t69r11xx";20;"PLEDA";768187.000;200.887
"N-t65w11xx";19;"PLEDA";136978170.000;188.283
"N-t70b11xx";6;"PLEDA";527733.000;196.388
"N-t69r11xx";3;"PLEDA";767887.000;197.056
"N-t70d11xx";6;"PLEDA";375638.000;197.242
"N-t70d11xxb";9;"PLEDA";362801.000;178.203
"N-t70d11xx";7;"PLEDA";374025.000;188.966
"N-t70d11xxb";2;"PLEDA";364380.000;200.040
"N-t65w11xx";9;"PLEDA";137027383.000;224.149
"N-t65w11xx";6;"PLEDA";137449198.000;228.687
"N-t70d11xxb";7;"PLEDA";365522.000;198.402
"N-t70b11xx";9;"PLEDA";527308.000;215.096
"N-t70d11xxb";5;"PLEDA";366059.000;195.528
"N-t70b11xx";8;"PLEDA";526112.000;210.358
"N-t69r11xx";7;"PLEDA";767975.000;202.810
"N-t70d11xx";14;"PLEDA";375525.000;183.572
"N-t70f11xx";7;"PLEDA";359256.000;186.877
"N-t70b11xx";13;"PLEDA";526877.000;194.142
"N-t70b11xx";16;"PLEDA";526874.000;191.411
"N-t65w11xx";12;"PLEDA";137159343.000;236.300
"N-t70f11xx";5;"PLEDA";358259.000;196.060
"N-t70d11xxb";20;"PLEDA";365368.000;200.506
"N-t65w11xx";11;"PLEDA";136950106.000;231.512
"N-t70d11xxb";16;"PLEDA";365629.000;197.518
"N-t70b11xx";19;"PLEDA";527473.000;213.607
"N-t65w11xx";7;"PLEDA";137396181.000;234.028
"N-t70d11xx";19;"PLEDA";375433.000;194.508
"N-t70d11xx";17;"PLEDA";375824.000;195.870
"N-t70d11xxb";10;"PLEDA";365315.000;198.230
"N-t65n11xx";20;"PLEDA";32030.000;247.134
"N-t70d11xxb";14;"PLEDA";365703.000;187.972
"N-t70f11xx";3;"PLEDA";358103.000;198.783
"N-t65w11xx";16;"PLEDA";136649120.000;242.996
"N-t70f11xx";11;"PLEDA";357784.000;198.828
"N-t70f11xx";13;"PLEDA";359824.000;184.310
"N-t70d11xxb";11;"PLEDA";364713.000;200.945
"N-t70f11xx";16;"PLEDA";357337.000;197.440
"N-t70i11xx";1;"PLEDA";24753656.000;196.532
"N-t70d11xxb";1;"PLEDA";363154.000;226.996
"N-t70f11xx";12;"PLEDA";358173.000;195.325
"N-t70i11xx";6;"PLEDA";24765889.000;188.311
"N-t65w11xx";15;"PLEDA";137580377.000;246.149
"N-t70b11xx";20;"PLEDA";526483.000;218.086
"N-t70d11xxb";8;"PLEDA";365688.000;199.252
"N-t70b11xx";18;"PLEDA";519809.000;221.927
"N-t70f11xx";1;"PLEDA";356141.000;195.343
"N-t65w11xx";8;"PLEDA";136999196.000;247.605
"N-t70b11xx";1;"PLEDA";527322.000;228.800
"N-t70d11xxb";13;"PLEDA";365901.000;199.719
"N-t70i11xx";7;"PLEDA";24708549.000;198.738
"N-t70b11xx";7;"PLEDA";527245.000;241.654
"N-t69r11xx";6;"PLEDA";766347.000;246.188
"N-t69r11xx";2;"PLEDA";767879.000;245.500
"N-t65w11xx";20;"PLEDA";137581261.000;249.977
"N-t70f11xx";19;"PLEDA";357650.000;196.415
"N-t70i11xx";11;"PLEDA";24741029.000;198.283
"N-t70f11xx";15;"PLEDA";359670.000;195.664
"N-t70d11xx";5;"PLEDA";369541.000;230.683
"N-t70b11xx";2;"PLEDA";527234.000;242.130
"N-t70i11xx";4;"PLEDA";24732132.000;200.205
"N-t70i11xx";2;"PLEDA";24750883.000;187.469
"N-t65w11xx";14;"PLEDA";137647465.000;244.508
"N-t70f11xx";6;"PLEDA";358021.000;201.353
"N-t69r11xx";19;"PLEDA";766437.000;250.534
"N-t69r11xx";13;"PLEDA";767864.000;252.500
"N-t70d11xx";1;"PLEDA";369125.000;228.759
"N-t70d11xx";16;"PLEDA";374562.000;245.368
"N-t70f11xx";18;"PLEDA";357780.000;201.735
"N-t65w11xx";17;"PLEDA";137624616.000;240.715
"N-t69r11xx";18;"PLEDA";767680.000;249.802
"N-t69r11xx";10;"PLEDA";767405.000;238.420
