Instance;Repetition;Algorithm;Fitness;Real_Time
N-be75oi;17;Gradient_100_0.1_superlinear;110858;16.0851
N-t59b11xx;18;Gradient_100_0.1_superlinear;208330;8.26778
N-t59d11xx;1;Gradient_100_0.1_superlinear;146620;9.78692
N-stabu70;18;Gradient_100_0.1_superlinear;359834;31.0782
N-stabu70;20;Gradient_100_0.1_superlinear;359028;31.0545
N-t59d11xx;7;Gradient_100_0.1_superlinear;144637;9.32694
N-stabu70;3;Gradient_100_0.1_superlinear;359606;25.6583
N-stabu75;7;Gradient_100_0.1_superlinear;550137;30.9759
N-t59d11xx;6;Gradient_100_0.1_superlinear;146654;8.14688
N-t59d11xx;12;Gradient_100_0.1_superlinear;147279;7.84245
N-t59f11xx;10;Gradient_100_0.1_superlinear;122465;9.78003
N-t59d11xx;4;Gradient_100_0.1_superlinear;146654;9.31896
N-stabu70;13;Gradient_100_0.1_superlinear;359751;29.6115
N-t59d11xx;10;Gradient_100_0.1_superlinear;144685;7.60722
N-stabu75;19;Gradient_100_0.1_superlinear;549732;25.2069
N-stabu75;20;Gradient_100_0.1_superlinear;549928;25.2885
N-t59d11xx;15;Gradient_100_0.1_superlinear;147354;8.1916
N-stabu70;12;Gradient_100_0.1_superlinear;359100;29.4505
N-t59b11xx;1;Gradient_100_0.1_superlinear;208310;7.74889
N-t59d11xx;2;Gradient_100_0.1_superlinear;144637;9.294
N-t59i11xx;5;Gradient_100_0.1_superlinear;8257102;9.37772
N-t59d11xx;19;Gradient_100_0.1_superlinear;144640;9.23506
N-t59i11xx;20;Gradient_100_0.1_superlinear;8257887;8.20508
N-stabu74;18;Gradient_100_0.1_superlinear;537969;31.2405
N-t59b11xx;15;Gradient_100_0.1_superlinear;208290;9.41068
N-t59i11xx;10;Gradient_100_0.1_superlinear;8257653;7.62352
N-t59d11xx;13;Gradient_100_0.1_superlinear;146654;7.58732
N-t59b11xx;13;Gradient_100_0.1_superlinear;208280;9.88571
N-t59f11xx;3;Gradient_100_0.1_superlinear;122456;9.42124
N-stabu75;6;Gradient_100_0.1_superlinear;549658;31.0984
N-t59b11xx;12;Gradient_100_0.1_superlinear;208300;9.83582
N-stabu74;13;Gradient_100_0.1_superlinear;536009;30.8119
N-stabu75;1;Gradient_100_0.1_superlinear;550074;30.9953
N-stabu70;9;Gradient_100_0.1_superlinear;359740;29.4006
N-stabu70;7;Gradient_100_0.1_superlinear;360782;29.5319
N-stabu70;10;Gradient_100_0.1_superlinear;359154;29.664
N-stabu70;2;Gradient_100_0.1_superlinear;359674;25.6655
N-t59b11xx;9;Gradient_100_0.1_superlinear;208240;9.46207
N-stabu70;6;Gradient_100_0.1_superlinear;359652;29.7462
N-t59n11xx;10;Gradient_100_0.1_superlinear;20862;7.82695
N-stabu75;2;Gradient_100_0.1_superlinear;547976;30.9123
N-stabu70;5;Gradient_100_0.1_superlinear;359499;29.6217
N-t59n11xx;12;Gradient_100_0.1_superlinear;20869;9.37196
N-t59f11xx;12;Gradient_100_0.1_superlinear;122356;9.71296
N-stabu74;20;Gradient_100_0.1_superlinear;536569;31.1728
N-t59n11xx;1;Gradient_100_0.1_superlinear;20870;7.70274
N-t59i11xx;7;Gradient_100_0.1_superlinear;8259924;9.76062
N-t59n11xx;4;Gradient_100_0.1_superlinear;20866;9.56319
N-t59n11xx;18;Gradient_100_0.1_superlinear;20872;9.66855
N-stabu74;3;Gradient_100_0.1_superlinear;536917;29.4865
N-stabu70;14;Gradient_100_0.1_superlinear;359070;29.5548
N-t59f11xx;13;Gradient_100_0.1_superlinear;122473;9.76382
N-t59b11xx;20;Gradient_100_0.1_superlinear;208320;10.848
N-t65b11xx;4;Gradient_100_0.1_superlinear;353026;9.97925
N-stabu70;16;Gradient_100_0.1_superlinear;359666;30.9214
N-stabu75;15;Gradient_100_0.1_superlinear;549540;30.8802
N-stabu74;12;Gradient_100_0.1_superlinear;536669;31.1704
N-t59d11xx;16;Gradient_100_0.1_superlinear;146644;9.38299
N-t59i11xx;6;Gradient_100_0.1_superlinear;8257350;8.05172
N-stabu70;11;Gradient_100_0.1_superlinear;359560;29.7332
N-t59n11xx;2;Gradient_100_0.1_superlinear;20871;9.75158
N-stabu74;2;Gradient_100_0.1_superlinear;537925;29.8662
N-t59b11xx;11;Gradient_100_0.1_superlinear;208310;8.26933
N-t59b11xx;19;Gradient_100_0.1_superlinear;208290;9.41231
N-t59n11xx;7;Gradient_100_0.1_superlinear;20868;9.80903
N-t65b11xx;2;Gradient_100_0.1_superlinear;354135;10.1096
N-t59n11xx;13;Gradient_100_0.1_superlinear;20861;9.40424
N-t59d11xx;3;Gradient_100_0.1_superlinear;146620;7.91068
N-t59d11xx;17;Gradient_100_0.1_superlinear;146665;9.5281
N-stabu74;14;Gradient_100_0.1_superlinear;536256;31.0248
N-t59d11xx;9;Gradient_100_0.1_superlinear;147096;8.16833
N-t65b11xx;12;Gradient_100_0.1_superlinear;354696;8.32982
N-t59b11xx;14;Gradient_100_0.1_superlinear;208350;8.34566
N-t59n11xx;3;Gradient_100_0.1_superlinear;20857;9.3601
N-t59d11xx;20;Gradient_100_0.1_superlinear;146644;9.7454
N-t65b11xx;10;Gradient_100_0.1_superlinear;354675;9.66389
N-t59i11xx;17;Gradient_100_0.1_superlinear;8257907;9.6867
N-t59n11xx;16;Gradient_100_0.1_superlinear;20869;7.75371
N-t59i11xx;3;Gradient_100_0.1_superlinear;8259943;7.71362
N-t59f11xx;8;Gradient_100_0.1_superlinear;122457;9.6096
N-t65d11xx;5;Gradient_100_0.1_superlinear;235941;9.50041
N-stabu75;8;Gradient_100_0.1_superlinear;547496;30.8617
N-t59n11xx;6;Gradient_100_0.1_superlinear;20859;9.8644
N-stabu75;16;Gradient_100_0.1_superlinear;548019;29.8259
N-t65b11xx;7;Gradient_100_0.1_superlinear;355050;9.79265
N-t65d11xx;13;Gradient_100_0.1_superlinear;236972;9.48148
N-t59i11xx;13;Gradient_100_0.1_superlinear;8260170;9.77214
N-t59i11xx;4;Gradient_100_0.1_superlinear;8257483;9.52975
N-t59i11xx;11;Gradient_100_0.1_superlinear;8257694;9.67263
N-t59b11xx;16;Gradient_100_0.1_superlinear;208350;9.87758
N-t59f11xx;6;Gradient_100_0.1_superlinear;122393;9.38918
N-t59n11xx;20;Gradient_100_0.1_superlinear;20862;9.45668
N-t59f11xx;15;Gradient_100_0.1_superlinear;122472;9.43158
N-t59n11xx;8;Gradient_100_0.1_superlinear;20862;9.34547
N-t65f11xx;10;Gradient_100_0.1_superlinear;215948;7.84287
N-t65f11xx;11;Gradient_100_0.1_superlinear;216032;7.87251
N-t59d11xx;8;Gradient_100_0.1_superlinear;147098;7.56539
N-stabu75;17;Gradient_100_0.1_superlinear;549321;29.6062
N-t59i11xx;14;Gradient_100_0.1_superlinear;8257831;9.79914
N-t65d11xx;2;Gradient_100_0.1_superlinear;236790;7.87543
N-t65b11xx;18;Gradient_100_0.1_superlinear;353765;10.1871
N-t59d11xx;5;Gradient_100_0.1_superlinear;146653;7.99384
N-t65b11xx;6;Gradient_100_0.1_superlinear;355052;9.76259
N-t59f11xx;11;Gradient_100_0.1_superlinear;122445;8.02851
N-t59i11xx;16;Gradient_100_0.1_superlinear;8257959;9.31299
N-t65d11xx;4;Gradient_100_0.1_superlinear;236971;9.48763
N-t59f11xx;17;Gradient_100_0.1_superlinear;122486;8.24385
N-t59i11xx;15;Gradient_100_0.1_superlinear;8258141;9.62034
N-t59f11xx;5;Gradient_100_0.1_superlinear;122369;8.0659
N-t65b11xx;19;Gradient_100_0.1_superlinear;353991;7.88562
N-t59n11xx;9;Gradient_100_0.1_superlinear;20870;9.82348
N-t59f11xx;14;Gradient_100_0.1_superlinear;122366;9.17019
N-t65f11xx;13;Gradient_100_0.1_superlinear;216103;9.42903
N-t59i11xx;2;Gradient_100_0.1_superlinear;8257522;8.11076
N-t59f11xx;4;Gradient_100_0.1_superlinear;122462;9.37937
N-t65f11xx;6;Gradient_100_0.1_superlinear;216164;9.42386
N-t59f11xx;16;Gradient_100_0.1_superlinear;122482;9.43999
N-t65i11xx;8;Gradient_100_0.1_superlinear;14455485;10.1649
N-t59n11xx;15;Gradient_100_0.1_superlinear;20870;9.76769
N-t59f11xx;9;Gradient_100_0.1_superlinear;122471;9.37245
N-t65b11xx;17;Gradient_100_0.1_superlinear;354659;9.98211
N-t59i11xx;1;Gradient_100_0.1_superlinear;8260157;8.19904
N-t59n11xx;11;Gradient_100_0.1_superlinear;20870;9.42433
N-t65i11xx;17;Gradient_100_0.1_superlinear;14451979;10.1089
N-t59f11xx;7;Gradient_100_0.1_superlinear;122457;9.80388
N-t59f11xx;2;Gradient_100_0.1_superlinear;122481;9.73801
N-stabu75;14;Gradient_100_0.1_superlinear;548007;29.9348
N-t65b11xx;5;Gradient_100_0.1_superlinear;354705;9.63987
N-t59f11xx;19;Gradient_100_0.1_superlinear;122501;9.85196
N-t65d11xx;12;Gradient_100_0.1_superlinear;235881;9.51415
N-t65d11xx;18;Gradient_100_0.1_superlinear;235823;7.8802
N-t59n11xx;17;Gradient_100_0.1_superlinear;20871;9.4917
N-t59i11xx;19;Gradient_100_0.1_superlinear;8259901;9.7335
N-t59f11xx;20;Gradient_100_0.1_superlinear;122468;8.21186
N-t65f11xx;18;Gradient_100_0.1_superlinear;216074;7.7312
N-t59n11xx;19;Gradient_100_0.1_superlinear;20866;7.80443
N-t65b11xx;9;Gradient_100_0.1_superlinear;352443;9.93769
N-t59f11xx;18;Gradient_100_0.1_superlinear;122456;9.76477
N-t65l11xx;14;Gradient_100_0.1_superlinear;16719;9.7804
N-t65l11xx;3;Gradient_100_0.1_superlinear;16714;8.32161
N-t65f11xx;7;Gradient_100_0.1_superlinear;215990;9.3614
N-t65d11xx;17;Gradient_100_0.1_superlinear;237057;9.49991
N-t65f11xx;8;Gradient_100_0.1_superlinear;215898;9.39529
N-t65n11xx;8;Gradient_100_0.1_superlinear;32052;8.21523
N-t65f11xx;9;Gradient_100_0.1_superlinear;216125;9.43011
N-t65b11xx;14;Gradient_100_0.1_superlinear;354111;8.63351
N-t65d11xx;14;Gradient_100_0.1_superlinear;233919;9.7067
N-t65n11xx;3;Gradient_100_0.1_superlinear;32081;9.6351
N-t59i11xx;9;Gradient_100_0.1_superlinear;8257295;8.19754
N-t65f11xx;5;Gradient_100_0.1_superlinear;216162;9.80394
N-stabu75;18;Gradient_100_0.1_superlinear;548085;30.147
N-t65i11xx;2;Gradient_100_0.1_superlinear;14448787;9.73589
N-t65f11xx;19;Gradient_100_0.1_superlinear;215991;9.7278
N-t65b11xx;20;Gradient_100_0.1_superlinear;355001;9.93496
N-t65d11xx;6;Gradient_100_0.1_superlinear;235759;7.96017
N-t65d11xx;10;Gradient_100_0.1_superlinear;235870;9.56938
N-t59i11xx;8;Gradient_100_0.1_superlinear;8257506;9.7201
N-t65i11xx;3;Gradient_100_0.1_superlinear;14450545;10.1498
N-t59i11xx;18;Gradient_100_0.1_superlinear;8257219;9.74653
N-t65b11xx;15;Gradient_100_0.1_superlinear;354776;10.0811
N-t65n11xx;14;Gradient_100_0.1_superlinear;32076;9.77755
N-t65f11xx;15;Gradient_100_0.1_superlinear;216177;9.50561
N-t65f11xx;1;Gradient_100_0.1_superlinear;215946;9.54161
N-t59i11xx;12;Gradient_100_0.1_superlinear;8257521;9.70652
N-t65i11xx;11;Gradient_100_0.1_superlinear;14456527;9.69107
N-t65d11xx;3;Gradient_100_0.1_superlinear;236972;9.46567
N-t65l11xx;1;Gradient_100_0.1_superlinear;16671;9.30054
N-t65n11xx;12;Gradient_100_0.1_superlinear;32083;9.59092
N-t65l11xx;2;Gradient_100_0.1_superlinear;16719;9.42352
N-t65b11xx;16;Gradient_100_0.1_superlinear;354670;10.0698
N-t65i11xx;20;Gradient_100_0.1_superlinear;14453647;8.40715
N-t65n11xx;1;Gradient_100_0.1_superlinear;32049;9.83363
N-t65l11xx;17;Gradient_100_0.1_superlinear;16694;9.50948
N-t59n11xx;5;Gradient_100_0.1_superlinear;20870;9.45329
N-t65n11xx;5;Gradient_100_0.1_superlinear;32080;9.67003
N-t65f11xx;14;Gradient_100_0.1_superlinear;216054;9.394
N-t65f11xx;17;Gradient_100_0.1_superlinear;216158;9.85439
N-t65i11xx;4;Gradient_100_0.1_superlinear;14456766;9.67501
N-t65b11xx;3;Gradient_100_0.1_superlinear;353567;9.65235
N-t65n11xx;17;Gradient_100_0.1_superlinear;32035;8.34175
N-t65w11xx;13;Gradient_100_0.1_superlinear;137720401;9.86027
N-t65l11xx;19;Gradient_100_0.1_superlinear;16671;9.59009
